Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,239,1992,2231,Kawhmu,MMR013028
 Rural,4010,23551,27561,Kawhmu,MMR013028
 Total,4249,25543,29792,Kawhmu,MMR013028
