Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,177,2071,2248,Yanbye,MMR012013
 Rural,3853,16317,20170,Yanbye,MMR012013
 Total,4030,18388,22418,Yanbye,MMR012013
