Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,281,6527,6808,Tantyan,MMR015004
 Rural,12513,15821,28334,Tantyan,MMR015004
 Total,12794,22348,35142,Tantyan,MMR015004
