Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,73,769,842,Kehsi,MMR014015
 Rural,3224,4835,8059,Kehsi,MMR014015
 Total,3297,5604,8901,Kehsi,MMR014015
