Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,51,41876,41927,Mahaaungmye,MMR010003
 Total,51,41876,41927,Mahaaungmye,MMR010003
