Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,13,1145,1158,Kunlon,MMR015020
 Rural,1319,7915,9234,Kunlon,MMR015020
 Total,1332,9060,10392,Kunlon,MMR015020
