Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,7,755,762,Kenglat(ST),MMR016009
 Rural,270,1444,1714,Kenglat(ST),MMR016009
 Total,277,2199,2476,Kenglat(ST),MMR016009
