Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,24,16275,16299,Kamayut,MMR013041
 Total,24,16275,16299,Kamayut,MMR013041
