Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,105,1365,1470,Mineye`,MMR015003
 Rural,4825,7033,11858,Mineye`,MMR015003
 Total,4930,8398,13328,Mineye`,MMR015003
