Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,182,5867,6049,Myanaung,MMR017011
 Rural,19022,34849,53871,Myanaung,MMR017011
 Total,19204,40716,59920,Myanaung,MMR017011
