Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,138,5189,5327,Yame`thin,MMR010023
 Rural,26545,25387,51932,Yame`thin,MMR010023
 Total,26683,30576,57259,Yame`thin,MMR010023
