Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,352,3226,3578,Ingapu,MMR017013
 Rural,20187,33464,53651,Ingapu,MMR017013
 Total,20539,36690,57229,Ingapu,MMR017013
