Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,43,2040,2083,Mineshu,MMR014017
 Rural,2211,4907,7118,Mineshu,MMR014017
 Total,2254,6947,9201,Mineshu,MMR014017
