Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,26,4228,4254,Kyaukpyu,MMR012011
 Rural,6791,26219,33010,Kyaukpyu,MMR012011
 Total,6817,30447,37264,Kyaukpyu,MMR012011
