Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,80,3929,4009,Hsipaw,MMR015014
 Rural,6213,27684,33897,Hsipaw,MMR015014
 Total,6293,31613,37906,Hsipaw,MMR015014
