Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,132,8617,8749,Hlegu,MMR013004
 Rural,7262,42012,49274,Hlegu,MMR013004
 Total,7394,50629,58023,Hlegu,MMR013004
