Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,47,6066,6113,Ye,MMR011006
 Rural,751,23127,23878,Ye,MMR011006
 Total,798,29193,29991,Ye,MMR011006
