Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,29,25889,25918,Mingala Taungnyunt,MMR013022
 Total,29,25889,25918,Mingala Taungnyunt,MMR013022
