Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,182,7334,7516,Kyaikto,MMR011009
 Rural,2998,27574,30572,Kyaikto,MMR011009
 Total,3180,34908,38088,Kyaikto,MMR011009
