Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,54,2564,2618,Myebon,MMR012006
 Rural,2364,26357,28721,Myebon,MMR012006
 Total,2418,28921,31339,Myebon,MMR012006
