Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,7,1462,1469,Monekoe(ST),MMR015009
 Rural,57,2832,2889,Monekoe(ST),MMR015009
 Total,64,4294,4358,Monekoe(ST),MMR015009
