Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,65,1858,1923,Theinni,MMR015002
 Rural,886,8970,9856,Theinni,MMR015002
 Total,951,10828,11779,Theinni,MMR015002
