Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,15,14622,14637,Yankin,MMR013010
 Total,15,14622,14637,Yankin,MMR013010
