Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,1,720,721,Ponparkyin(ST),MMR016008
 Rural,517,6096,6613,Ponparkyin(ST),MMR016008
 Total,518,6816,7334,Ponparkyin(ST),MMR016008
