Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,24,849,873,Talay(ST),MMR016009
 Rural,377,2768,3145,Talay(ST),MMR016009
 Total,401,3617,4018,Talay(ST),MMR016009
