Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,10,10296,10306,Pazuntaung,MMR013016
 Total,10,10296,10306,Pazuntaung,MMR013016
