Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,196,992,1188,Thabeikkyin,MMR010012
 Rural,6374,18187,24561,Thabeikkyin,MMR010012
 Total,6570,19179,25749,Thabeikkyin,MMR010012
