Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,123,8123,8246,Zeyarthiri,MMR018001
 Rural,2621,15208,17829,Zeyarthiri,MMR018001
 Total,2744,23331,26075,Zeyarthiri,MMR018001
