Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,31,2671,2702,Patheingyi,MMR010007
 Rural,6550,43738,50288,Patheingyi,MMR010007
 Total,6581,46409,52990,Patheingyi,MMR010007
