Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,344,4497,4841,Nanhsam(South),MMR014013
 Rural,2718,11304,14022,Nanhsam(South),MMR014013
 Total,3062,15801,18863,Nanhsam(South),MMR014013
