Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,28,2231,2259,Pindaya,MMR014006
 Rural,5866,9419,15285,Pindaya,MMR014006
 Total,5894,11650,17544,Pindaya,MMR014006
