Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,1,1767,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,75,2700,2775,Pansai(KyuKute)(ST),MMR015009
 Total,76,4467,4543,Pansai(KyuKute)(ST),MMR015009
