Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,7,6125,6132,Namkham,MMR015010
 Rural,276,15009,15285,Namkham,MMR015010
 Total,283,21134,21417,Namkham,MMR015010
