Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,241,1234,1475,Kyeintali(ST),MMR012017
 Rural,2059,2547,4606,Kyeintali(ST),MMR012017
 Total,2300,3781,6081,Kyeintali(ST),MMR012017
