Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,74,905,979,Naungtayar(ST),MMR014009
 Rural,4276,11324,15600,Naungtayar(ST),MMR014009
 Total,4350,12229,16579,Naungtayar(ST),MMR014009
