Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,28,20607,20635,Sangyoung,MMR013039
 Total,28,20607,20635,Sangyoung,MMR013039
