Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,205,3839,4044,Bilin,MMR011010
 Rural,5112,30075,35187,Bilin,MMR011010
 Total,5317,33914,39231,Bilin,MMR011010
