Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,36,5269,5305,Wakema,MMR017017
 Rural,7588,54555,62143,Wakema,MMR017017
 Total,7624,59824,67448,Wakema,MMR017017
