Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,49,1106,1155,Ywarngan,MMR014007
 Rural,5314,11879,17193,Ywarngan,MMR014007
 Total,5363,12985,18348,Ywarngan,MMR014007
