Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,99,18610,18709,Thanlyin,MMR013023
 Rural,4801,38087,42888,Thanlyin,MMR013023
 Total,4900,56697,61597,Thanlyin,MMR013023
