Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,330,4353,4683,Kukai,MMR015011
 Rural,2113,12235,14348,Kukai,MMR015011
 Total,2443,16588,19031,Kukai,MMR015011
