Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,106,178,284,Minekoke(ST),MMR016006
 Rural,942,1976,2918,Minekoke(ST),MMR016006
 Total,1048,2154,3202,Minekoke(ST),MMR016006
