Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,15,66,81,ManKan(ST),MMR015005
 Rural,69,165,234,ManKan(ST),MMR015005
 Total,84,231,315,ManKan(ST),MMR015005
