Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,161,18736,18897,Myingyan,MMR010017
 Rural,18126,25317,43443,Myingyan,MMR010017
 Total,18287,44053,62340,Myingyan,MMR010017
