Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,209,2466,2675,Ngwehsaung(ST),MMR017001
 Rural,1779,5016,6795,Ngwehsaung(ST),MMR017001
 Total,1988,7482,9470,Ngwehsaung(ST),MMR017001
