Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,368,2474,2842,Natogyi,MMR010019
 Rural,20111,18012,38123,Natogyi,MMR010019
 Total,20479,20486,40965,Natogyi,MMR010019
