Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,863,19496,20359,Taikkyi,MMR013005
 Rural,12815,33825,46640,Taikkyi,MMR013005
 Total,13678,53321,66999,Taikkyi,MMR013005
