Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,15,2755,2770,Pinlaung,MMR014009
 Rural,2359,20375,22734,Pinlaung,MMR014009
 Total,2374,23130,25504,Pinlaung,MMR014009
