Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,96,674,770,Laymyethna,MMR017010
 Rural,8759,16715,25474,Laymyethna,MMR017010
 Total,8855,17389,26244,Laymyethna,MMR017010
