Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,89,1421,1510,Yethedaung,MMR012008
 Rural,4142,18689,22831,Yethedaung,MMR012008
 Total,4231,20110,24341,Yethedaung,MMR012008
