Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,131,4764,4895,Ottarathiri,MMR018008
 Rural,4316,9450,13766,Ottarathiri,MMR018008
 Total,4447,14214,18661,Ottarathiri,MMR018008
