Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,392,5607,5999,Kyonpyaw,MMR017005
 Rural,9974,43515,53489,Kyonpyaw,MMR017005
 Total,10366,49122,59488,Kyonpyaw,MMR017005
