Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,211,6545,6756,Thongwa,MMR013025
 Rural,8504,24827,33331,Thongwa,MMR013025
 Total,8715,31372,40087,Thongwa,MMR013025
