Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,263,4083,4346,Myitthar,MMR010015
 Rural,15342,26329,41671,Myitthar,MMR010015
 Total,15605,30412,46017,Myitthar,MMR010015
