Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,16,973,989,Mineyan,MMR016003
 Rural,1143,7987,9130,Mineyan,MMR016003
 Total,1159,8960,10119,Mineyan,MMR016003
