Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,173,967,1140,Kyaukhtu(ST),MMR009025
 Rural,4029,2440,6469,Kyaukhtu(ST),MMR009025
 Total,4202,3407,7609,Kyaukhtu(ST),MMR009025
