Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,209,10039,10248,Pobbathiri,MMR018005
 Rural,3184,14184,17368,Pobbathiri,MMR018005
 Total,3393,24223,27616,Pobbathiri,MMR018005
