Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,173,5084,5257,Zalun,MMR017009
 Rural,8802,28014,36816,Zalun,MMR017009
 Total,8975,33098,42073,Zalun,MMR017009
