Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,77,2237,2314,Maungtaw,MMR012009
 Rural,440,4636,5076,Maungtaw,MMR012009
 Total,517,6873,7390,Maungtaw,MMR012009
