Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,160,1382,1542,Kunhing,MMR014014
 Rural,1348,1680,3028,Kunhing,MMR014014
 Total,1508,3062,4570,Kunhing,MMR014014
