Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,126,707,833,Ngayokaung(ST),MMR017004
 Rural,777,8591,9368,Ngayokaung(ST),MMR017004
 Total,903,9298,10201,Ngayokaung(ST),MMR017004
