Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,46,862,908,Dekkhinathiri,MMR018004
 Rural,1255,4834,6089,Dekkhinathiri,MMR018004
 Total,1301,5696,6997,Dekkhinathiri,MMR018004
 Urban,75786,2973647,3049433,Dekkhinathiri,MMR018004
 Rural,2278144,5550255,7828399,Dekkhinathiri,MMR018004
 Total,2353930,8523902,10877832,Dekkhinathiri,MMR018004
