Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,145,9970,10115,Bogale,MMR017024
 Rural,6308,59564,65872,Bogale,MMR017024
 Total,6453,69534,75987,Bogale,MMR017024
