Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,66,4226,4292,Pantanaw,MMR017020
 Rural,5924,50061,55985,Pantanaw,MMR017020
 Total,5990,54287,60277,Pantanaw,MMR017020
